sno,Distance,lat,long,elevation,TF,corr,anomaly
300,0,16.9181253,79.0877052,169.264,42836.392,42784.4,51.992
301,10,16.9180515,79.0876131,167.424,42828.691,42784.4,44.291
302,20,16.9179805,79.0875471,165.102,42823.691,42784.4,39.291
303,30,16.9179223,79.0874915,165.343,42817.99,42784.4,33.59
304,40,16.9178548,79.0874643,167.523,42816.14,42784.4,31.74
305,50,16.9177699,79.0874118,168.905,42810.14,42784.4,25.74
306,60,16.917699,79.0873729,169.29,42918.28,42784.4,133.88
307,70,16.9176082,79.0873349,169.975,42784.28,42784.4,-0.12
308,80,16.9175198,79.0872547,169.937,42711.42,42784.4,-72.98
309,90,16.9174741,79.0871797,169.117,42758.42,42784.4,-25.98
310,100,16.9174271,79.0871192,167.403,42729.56,42784.4,-54.84
311,110,16.9173752,79.0870511,167.225,42533.56,42784.4,-250.84
312,120,16.9172916,79.0869727,167.68,42340.7,42784.4,-443.7
313,130,16.9172302,79.0869129,168.447,42616.84,42784.4,-167.56
314,140,16.9171719,79.0868606,168.85,42729.84,42784.4,-54.56
315,150,16.9171296,79.0868145,169.163,42794.4,42784.4,10
316,160,16.9170799,79.0867641,169.371,42483.5,42784.4,-300.9
317,170,16.9170187,79.0867059,169.6,42802.25,42784.4,17.85
318,180,16.9169769,79.0866473,168.21,42934.25,42784.4,149.85
319,190,16.9169391,79.0865986,168.68,42837,42784.4,52.6
320,200,16.9168783,79.0865454,171.139,42867.75,42784.4,83.35
321,210,16.9168543,79.0864521,171.575,42853.5,42784.4,69.1
322,220,16.9167425,79.0864139,172.832,42851.25,42784.4,66.85
323,230,16.9166656,79.0863428,171.113,42846.25,42784.4,61.85
324,240,16.9165893,79.0863107,171.393,42837.75,42784.4,53.35
325,250,16.9165169,79.0862952,170.97,42835.5,42784.4,51.1
326,260,16.9164084,79.0862194,171.187,42838.5,42784.4,54.1
327,270,16.9163555,79.0861761,171.477,42846.604,42784.4,62.204
328,280,16.9162421,79.0861016,170.945,42855.604,42784.4,71.204
329,290,16.9161909,79.0860347,171.517,42863.208,42784.4,78.808
330,300,16.916108,79.0859248,171.08,42848.812,42784.4,64.412
331,310,16.916037,79.0858433,172.318,42844.416,42784.4,60.016
