sno,lst,long,elevation,TF
500,16.917891,79.0886234,170.86,42728.382
501,16.9178023,79.0885486,171.038,42793.98
502,16.9177498,79.0884789,164.95,42784.98
,,,,
503,16.9176944,79.0884249,166.777,42527.725
504,16.9176464,79.088382,167.842,42527.45
505,16.9175895,79.088321,168.21,42460.45
506,16.9175406,79.0882278,167.247,42531.9
507,16.9174897,79.0881516,167.857,42560
508,16.9173579,79.0881164,168.1,42539.625
509,16.9172654,79.0880839,168.422,42519.35
510,16.9171866,79.0880171,168.523,42701.35
511,16.9171145,79.0879486,169.037,42547.075
512,16.9170304,79.0878492,167.223,42443.8
513,16.9169523,79.0878154,167.815,42286.525
514,16.916846,79.0877342,169.94,42467.525
515,16.9167566,79.0876559,169.875,42521.25
,,,,
516,16.916709,79.087614,170.03,42603.02
517,16.9166515,79.0875754,170.21,42481.06
518,16.916614,79.0874681,165.166,42733.06
519,16.9165409,79.0874045,166.587,42631.08
520,16.91646,79.0873244,167.299,42730.1
521,16.9163754,79.0872454,168.7,42651.12
522,16.9162894,79.0871654,172.027,42713.14
523,16.9161787,79.0870758,170.727,42886.12
524,16.9161106,79.0870285,170.523,42667.14
525,16.9160224,79.0869317,170.613,42736.16
526,16.9159525,79.0868699,171.807,42644.36
527,16.9158775,79.086805,172.463,42714.18
528,16.915815,79.0867245,171.822,42712.38
529,16.9157113,79.086643,172.073,42775.2
530,16.9156482,79.0865921,172.065,42777.2
